run_id,repeat_id,split_seed,model,horizon,target_metric,feature_set,candidate_set,balancing_mode,decision_rule,target_class_distribution_json,predicted_class_distribution_json
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,2,10015,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 58, ""2"": 2}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 58, ""2"": 2}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 58, ""2"": 2}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,3,19988,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,4,29961,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 60}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,random_forest_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,5,39934,catboost_classifier,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,default,top_1,"{""1"": 59, ""3"": 1}","{""1"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,default,confidence_fallback_0.50,"{""1"": 59, ""3"": 1}","{""1"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,default,confidence_fallback_0.60,"{""1"": 59, ""3"": 1}","{""1"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,default,confidence_fallback_0.70,"{""1"": 59, ""3"": 1}","{""1"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,default,confidence_fallback_0.80,"{""1"": 59, ""3"": 1}","{""1"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_4,balanced,top_1,"{""1"": 59, ""3"": 1}","{""1"": 59, ""3"": 1}"
